Step,Realized_PnL,Unrealized_PnL,Total_PnL,Inventory,Spread
0,-10.0,0.0,-10.0,0,
1,-10.0,0.0,-10.0,0,2.0
2,-517.7068689841251,503.69972418723825,-14.007144796886848,5,2.3971420812452777
3,-19.24502523386184,0.0,-19.24502523386184,0,
4,477.2739194099194,-501.51894464378125,-24.24502523386184,-5,
5,-14.634175989271967,0.0,-14.634175989271967,0,2.1440830035477205
6,-24.634175989271967,0.0,-24.634175989271967,0,
7,-24.634175989271967,0.0,-24.634175989271967,0,-4.0
8,-24.634175989271967,0.0,-24.634175989271967,0,-4.278635323065842
9,464.1502595365535,-496.2844355258255,-32.13417598927197,-5,
