total_value,cash,positions,total_return,total_trades,win_rate,sharpe_ratio,max_drawdown,volatility,date
10640.45284253431,532.5761536166592,1,0.06404528425343105,17,0.6470588235294118,0.3975588112914831,0.054932351600197646,0.13706286590502526,2023-07-26
10735.522087467,532.5761536166592,1,0.07355220874669995,17,0.6470588235294118,0.4623926613987614,0.054932351600197646,0.13706204387732268,2023-07-27
10794.765776804816,532.5761536166592,1,0.07947657768048157,17,0.6470588235294118,0.5018181331472077,0.054932351600197646,0.1368835039425907,2023-07-28
10846.724267639764,532.5761536166592,1,0.08467242676397636,17,0.6470588235294118,0.535866403398879,0.054932351600197646,0.1366801352689856,2023-07-31
10904.404026652825,10904.404026652825,0,0.09044040266528246,18,0.6666666666666666,0.5734258028545225,0.054932351600197646,0.13649507395141,2023-08-01
10894.044842827505,534.8610175073209,1,0.0894044842827505,18,0.6666666666666666,0.5645980135079329,0.054932351600197646,0.13622735454649898,2023-08-02
10933.08069460547,10933.08069460547,0,0.09330806946054708,19,0.6842105263157895,0.5892824454136837,0.054932351600197646,0.13599239875903998,2023-08-03
10933.08069460547,10933.08069460547,0,0.09330806946054708,19,0.6842105263157895,0.5875177911552961,0.054932351600197646,0.13572180892096158,2023-08-04
10922.694267945595,536.2676080703986,1,0.09226942679455952,19,0.6842105263157895,0.5787230041200396,0.054932351600197646,0.13545891080523068,2023-08-07
11233.049362082897,11233.049362082897,0,0.12330493620828965,20,0.7,0.770095029638681,0.054932351600197646,0.13804239225719653,2023-08-08
11233.049362082897,11233.049362082897,0,0.12330493620828965,20,0.7,0.7680010452624124,0.054932351600197646,0.13777128825166746,2023-08-09
11233.049362082897,11233.049362082897,0,0.12330493620828965,20,0.7,0.7659183057807697,0.054932351600197646,0.13750177525310514,2023-08-10
11233.049362082897,11233.049362082897,0,0.12330493620828965,20,0.7,0.7638467031190325,0.054932351600197646,0.13723383776067508,2023-08-11
11233.049362082897,11233.049362082897,0,0.12330493620828965,20,0.7,0.7617861306676365,0.054932351600197646,0.13696746048414868,2023-08-14
11233.049362082897,11233.049362082897,0,0.12330493620828965,20,0.7,0.7597364832566349,0.054932351600197646,0.1367026283402387,2023-08-15
11233.049362082897,11233.049362082897,0,0.12330493620828965,20,0.7,0.7576976571307047,0.054932351600197646,0.13643932644901216,2023-08-16
11233.049362082897,11233.049362082897,0,0.12330493620828965,20,0.7,0.7556695499246812,0.054932351600197646,0.1361775401303789,2023-08-17
11233.049362082897,11233.049362082897,0,0.12330493620828965,20,0.7,0.7536520606396091,0.054932351600197646,0.13591725490065398,2023-08-01
11222.377965188918,550.9810712101662,1,0.12223779651889181,20,0.7,0.7448740948830794,0.054932351600197646,0.13566490351399332,2023-08-02
11262.590309562906,11262.590309562906,0,0.12625903095629054,21,0.7142857142857143,0.7680584644671803,0.054932351600197646,0.13544067025451365,2023-08-03
11262.590309562906,11262.590309562906,0,0.12625903095629054,21,0.7142857142857143,0.7660371966250721,0.054932351600197646,0.1351847624186115,2023-08-04
11251.89084876882,552.4300546840605,1,0.12518908487688205,21,0.7142857142857143,0.7572949404084076,0.054932351600197646,0.13493673811120038,2023-08-07
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9363641193257662,0.054932351600197646,0.13738873628238873,2023-08-08
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9340546197355147,0.054932351600197646,0.13713240552982528,2023-08-09
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9317570934894243,0.054932351600197646,0.13687750413788782,2023-08-10
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9294714306105549,0.054932351600197646,0.1366240188720645,2023-08-11
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9271975225447537,0.054932351600197646,0.1363719366687599,2023-08-14
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9249352621370006,0.054932351600197646,0.13612124463246808,2023-08-15
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9226845436082326,0.054932351600197646,0.1358719300330015,2023-08-16
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.920445262532632,0.054932351600197646,0.13562398030277661,2023-08-17
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9182173158153797,0.054932351600197646,0.13537738303415303,2023-08-18
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9160006016708463,0.054932351600197646,0.13513212597682606,2023-08-21
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9137950196012258,0.054932351600197646,0.13488819703527094,2023-08-22
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9116004703755889,0.054932351600197646,0.13464558426623743,2023-08-23
